11.433,70;2015-05-11T09:00:12;11.433,60;2015-05-11T09:00:12;11.433,70;2015-05-11T09:00:12;11.433,60;2015-05-11T09:00:12;;;;;;;;;
11.430,30;2015-05-11T09:00:15;11.430,30;2015-05-11T09:00:15;11.430,30;2015-05-11T09:00:15;11.430,30;2015-05-11T09:00:15;;;;;;;;;
11.430,20;2015-05-11T09:00:20;11.430,20;2015-05-11T09:00:20;11.430,20;2015-05-11T09:00:20;11.430,20;2015-05-11T09:00:20;;;;;;;;;
11.428,50;2015-05-11T09:00:25;11.428,50;2015-05-11T09:00:25;11.428,50;2015-05-11T09:00:25;11.428,50;2015-05-11T09:00:25;;;;;;;;;
11.426,20;2015-05-11T09:00:30;11.426,20;2015-05-11T09:00:30;11.426,20;2015-05-11T09:00:30;11.426,20;2015-05-11T09:00:30;;;;;;;;;
11.426,90;2015-05-11T09:00:35;11.426,90;2015-05-11T09:00:35;11.426,90;2015-05-11T09:00:35;11.426,90;2015-05-11T09:00:35;;;;;;;;;
11.429,80;2015-05-11T09:00:40;11.429,80;2015-05-11T09:00:40;11.429,80;2015-05-11T09:00:40;11.429,80;2015-05-11T09:00:40;;;;;;;;;
11.430,50;2015-05-11T09:00:45;11.430,50;2015-05-11T09:00:45;11.430,50;2015-05-11T09:00:45;11.430,50;2015-05-11T09:00:45;;;;;;;;;
11.427,10;2015-05-11T09:00:50;11.427,10;2015-05-11T09:00:50;11.427,10;2015-05-11T09:00:50;11.427,10;2015-05-11T09:00:50;;;;;;;;;
11.428,20;2015-05-11T09:00:55;11.428,20;2015-05-11T09:00:55;11.428,20;2015-05-11T09:00:55;11.428,20;2015-05-11T09:00:55;;;;;;;;;
11.425,50;2015-05-11T09:01:00;11.425,50;2015-05-11T09:01:00;11.425,50;2015-05-11T09:01:00;11.425,50;2015-05-11T09:01:00;;;;;;;;;
11.428,40;2015-05-11T09:01:05;11.428,40;2015-05-11T09:01:05;11.428,40;2015-05-11T09:01:05;11.428,40;2015-05-11T09:01:05;;;;;;;;;
11.427,70;2015-05-11T09:01:10;11.427,70;2015-05-11T09:01:10;11.427,70;2015-05-11T09:01:10;11.427,70;2015-05-11T09:01:10;;;;;;;;;
11.434,50;2015-05-11T09:01:15;11.434,50;2015-05-11T09:01:15;11.434,50;2015-05-11T09:01:15;11.434,50;2015-05-11T09:01:15;;;;;;;;;
11.432,30;2015-05-11T09:01:20;11.432,30;2015-05-11T09:01:20;11.432,30;2015-05-11T09:01:20;11.432,30;2015-05-11T09:01:20;;;;;;;;;
11.433,20;2015-05-11T09:01:25;11.433,20;2015-05-11T09:01:25;11.433,20;2015-05-11T09:01:25;11.433,20;2015-05-11T09:01:25;;;;;;;;;
11.432,80;2015-05-11T09:01:30;11.432,80;2015-05-11T09:01:30;11.432,80;2015-05-11T09:01:30;11.432,80;2015-05-11T09:01:30;;;;;;;;;
11.432,20;2015-05-11T09:01:35;11.432,20;2015-05-11T09:01:35;11.432,20;2015-05-11T09:01:35;11.432,20;2015-05-11T09:01:35;;;;;;;;;
11.429,80;2015-05-11T09:01:40;11.429,80;2015-05-11T09:01:40;11.429,80;2015-05-11T09:01:40;11.429,80;2015-05-11T09:01:40;;;;;;;;;
11.427,00;2015-05-11T09:01:45;11.427,00;2015-05-11T09:01:45;11.427,00;2015-05-11T09:01:45;11.427,00;2015-05-11T09:01:45;;;;;;;;;
11.426,00;2015-05-11T09:01:50;11.426,00;2015-05-11T09:01:50;11.426,00;2015-05-11T09:01:50;11.426,00;2015-05-11T09:01:50;;;;;;;;;
11.426,70;2015-05-11T09:01:55;11.426,70;2015-05-11T09:01:55;11.426,70;2015-05-11T09:01:55;11.426,70;2015-05-11T09:01:55;;;;;;;;;
11.429,10;2015-05-11T09:02:00;11.429,10;2015-05-11T09:02:00;11.429,10;2015-05-11T09:02:00;11.429,10;2015-05-11T09:02:00;;;;;;;;;
11.429,50;2015-05-11T09:02:05;11.429,50;2015-05-11T09:02:05;11.429,50;2015-05-11T09:02:05;11.429,50;2015-05-11T09:02:05;;;;;;;;;
11.435,00;2015-05-11T09:02:10;11.435,00;2015-05-11T09:02:10;11.435,00;2015-05-11T09:02:10;11.435,00;2015-05-11T09:02:10;;;;;;;;;
11.434,70;2015-05-11T09:02:15;11.434,70;2015-05-11T09:02:15;11.434,70;2015-05-11T09:02:15;11.434,70;2015-05-11T09:02:15;;;;;;;;;
11.435,60;2015-05-11T09:02:20;11.435,60;2015-05-11T09:02:20;11.435,60;2015-05-11T09:02:20;11.435,60;2015-05-11T09:02:20;;;;;;;;;
11.435,20;2015-05-11T09:02:25;11.435,20;2015-05-11T09:02:25;11.435,20;2015-05-11T09:02:25;11.435,20;2015-05-11T09:02:25;;;;;;;;;
11.432,00;2015-05-11T09:02:30;11.432,00;2015-05-11T09:02:30;11.432,00;2015-05-11T09:02:30;11.432,00;2015-05-11T09:02:30;;;;;;;;;
11.425,00;2015-05-11T09:02:35;11.425,00;2015-05-11T09:02:35;11.425,00;2015-05-11T09:02:35;11.425,00;2015-05-11T09:02:35;;;;;;;;;
11.419,60;2015-05-11T09:02:40;11.419,60;2015-05-11T09:02:40;11.419,60;2015-05-11T09:02:40;11.419,60;2015-05-11T09:02:40;;;;;;;;;
11.421,10;2015-05-11T09:02:45;11.421,10;2015-05-11T09:02:45;11.421,10;2015-05-11T09:02:45;11.421,10;2015-05-11T09:02:45;;;;;;;;;
11.422,50;2015-05-11T09:02:50;11.422,50;2015-05-11T09:02:50;11.422,50;2015-05-11T09:02:50;11.422,50;2015-05-11T09:02:50;;;;;;;;;
11.421,60;2015-05-11T09:02:55;11.421,60;2015-05-11T09:02:55;11.421,60;2015-05-11T09:02:55;11.421,60;2015-05-11T09:02:55;;;;;;;;;
11.421,20;2015-05-11T09:03:00;11.421,20;2015-05-11T09:03:00;11.421,20;2015-05-11T09:03:00;11.421,20;2015-05-11T09:03:00;;;;;;;;;
11.421,00;2015-05-11T09:03:05;11.421,00;2015-05-11T09:03:05;11.421,00;2015-05-11T09:03:05;11.421,00;2015-05-11T09:03:05;;;;;;;;;
11.422,80;2015-05-11T09:03:10;11.422,80;2015-05-11T09:03:10;11.422,80;2015-05-11T09:03:10;11.422,80;2015-05-11T09:03:10;;;;;;;;;
11.421,30;2015-05-11T09:03:15;11.421,30;2015-05-11T09:03:15;11.421,30;2015-05-11T09:03:15;11.421,30;2015-05-11T09:03:15;;;;;;;;;
11.422,60;2015-05-11T09:03:20;11.422,60;2015-05-11T09:03:20;11.422,60;2015-05-11T09:03:20;11.422,60;2015-05-11T09:03:20;;;;;;;;;
11.424,70;2015-05-11T09:03:25;11.424,70;2015-05-11T09:03:25;11.424,70;2015-05-11T09:03:25;11.424,70;2015-05-11T09:03:25;;;;;;;;;
11.422,30;2015-05-11T09:03:30;11.422,30;2015-05-11T09:03:30;11.422,30;2015-05-11T09:03:30;11.422,30;2015-05-11T09:03:30;;;;;;;;;
11.421,00;2015-05-11T09:03:35;11.421,00;2015-05-11T09:03:35;11.421,00;2015-05-11T09:03:35;11.421,00;2015-05-11T09:03:35;;;;;;;;;
11.421,80;2015-05-11T09:03:40;11.421,80;2015-05-11T09:03:40;11.421,80;2015-05-11T09:03:40;11.421,80;2015-05-11T09:03:40;;;;;;;;;
11.419,70;2015-05-11T09:03:45;11.419,70;2015-05-11T09:03:45;11.419,70;2015-05-11T09:03:45;11.419,70;2015-05-11T09:03:45;;;;;;;;;
11.420,20;2015-05-11T09:03:50;11.420,20;2015-05-11T09:03:50;11.420,20;2015-05-11T09:03:50;11.420,20;2015-05-11T09:03:50;;;;;;;;;
11.418,90;2015-05-11T09:03:55;11.418,90;2015-05-11T09:03:55;11.418,90;2015-05-11T09:03:55;11.418,90;2015-05-11T09:03:55;;;;;;;;;
11.422,20;2015-05-11T09:04:00;11.422,20;2015-05-11T09:04:00;11.422,20;2015-05-11T09:04:00;11.422,20;2015-05-11T09:04:00;;;;;;;;;
11.423,80;2015-05-11T09:04:05;11.423,80;2015-05-11T09:04:05;11.423,80;2015-05-11T09:04:05;11.423,80;2015-05-11T09:04:05;;;;;;;;;
11.423,00;2015-05-11T09:04:10;11.423,00;2015-05-11T09:04:10;11.423,00;2015-05-11T09:04:10;11.423,00;2015-05-11T09:04:10;;;;;;;;;
11.421,20;2015-05-11T09:04:15;11.421,20;2015-05-11T09:04:15;11.421,20;2015-05-11T09:04:15;11.421,20;2015-05-11T09:04:15;;;;;;;;;
11.428,40;2015-05-11T09:04:20;11.428,40;2015-05-11T09:04:20;11.428,40;2015-05-11T09:04:20;11.428,40;2015-05-11T09:04:20;;;;;;;;;
11.427,70;2015-05-11T09:04:25;11.427,70;2015-05-11T09:04:25;11.427,70;2015-05-11T09:04:25;11.427,70;2015-05-11T09:04:25;;;;;;;;;
11.427,40;2015-05-11T09:04:30;11.427,40;2015-05-11T09:04:30;11.427,40;2015-05-11T09:04:30;11.427,40;2015-05-11T09:04:30;;;;;;;;;
11.425,50;2015-05-11T09:04:35;11.425,50;2015-05-11T09:04:35;11.425,50;2015-05-11T09:04:35;11.425,50;2015-05-11T09:04:35;;;;;;;;;
11.425,40;2015-05-11T09:04:40;11.425,40;2015-05-11T09:04:40;11.425,40;2015-05-11T09:04:40;11.425,40;2015-05-11T09:04:40;;;;;;;;;
11.424,50;2015-05-11T09:04:45;11.424,50;2015-05-11T09:04:45;11.424,50;2015-05-11T09:04:45;11.424,50;2015-05-11T09:04:45;;;;;;;;;
11.424,90;2015-05-11T09:04:50;11.424,90;2015-05-11T09:04:50;11.424,90;2015-05-11T09:04:50;11.424,90;2015-05-11T09:04:50;;;;;;;;;
11.425,80;2015-05-11T09:04:55;11.425,80;2015-05-11T09:04:55;11.425,80;2015-05-11T09:04:55;11.425,80;2015-05-11T09:04:55;;;;;;;;;
11.424,80;2015-05-11T09:05:00;11.424,80;2015-05-11T09:05:00;11.424,80;2015-05-11T09:05:00;11.424,80;2015-05-11T09:05:00;;;;;;;;;
