11.355,30;2015-05-13T09:03:15;11.355,30;2015-05-13T09:03:15;11.355,30;2015-05-13T09:03:15;11.355,30;2015-05-13T09:03:15
11.355,90;2015-05-13T09:03:20;11.355,90;2015-05-13T09:03:20;11.355,90;2015-05-13T09:03:20;11.355,90;2015-05-13T09:03:20
11.357,30;2015-05-13T09:03:25;11.357,30;2015-05-13T09:03:25;11.357,30;2015-05-13T09:03:25;11.357,30;2015-05-13T09:03:25
11.359,60;2015-05-13T09:03:30;11.359,60;2015-05-13T09:03:30;11.359,60;2015-05-13T09:03:30;11.359,60;2015-05-13T09:03:30
11.360,40;2015-05-13T09:03:35;11.360,40;2015-05-13T09:03:35;11.360,40;2015-05-13T09:03:35;11.360,40;2015-05-13T09:03:35
11.360,00;2015-05-13T09:03:40;11.360,00;2015-05-13T09:03:40;11.360,00;2015-05-13T09:03:40;11.360,00;2015-05-13T09:03:40
11.359,50;2015-05-13T09:03:45;11.359,50;2015-05-13T09:03:45;11.359,50;2015-05-13T09:03:45;11.359,50;2015-05-13T09:03:45
11.360,10;2015-05-13T09:03:50;11.360,10;2015-05-13T09:03:50;11.360,10;2015-05-13T09:03:50;11.360,10;2015-05-13T09:03:50
11.360,20;2015-05-13T09:03:55;11.360,20;2015-05-13T09:03:55;11.360,20;2015-05-13T09:03:55;11.360,20;2015-05-13T09:03:55
11.361,20;2015-05-13T09:04:00;11.361,20;2015-05-13T09:04:00;11.361,20;2015-05-13T09:04:00;11.361,20;2015-05-13T09:04:00
11.362,20;2015-05-13T09:04:05;11.362,20;2015-05-13T09:04:05;11.362,20;2015-05-13T09:04:05;11.362,20;2015-05-13T09:04:05
11.360,50;2015-05-13T09:04:10;11.360,50;2015-05-13T09:04:10;11.360,50;2015-05-13T09:04:10;11.360,50;2015-05-13T09:04:10
11.361,30;2015-05-13T09:04:15;11.361,30;2015-05-13T09:04:15;11.361,30;2015-05-13T09:04:15;11.361,30;2015-05-13T09:04:15
11.358,90;2015-05-13T09:04:20;11.358,90;2015-05-13T09:04:20;11.358,90;2015-05-13T09:04:20;11.358,90;2015-05-13T09:04:20
11.358,90;2015-05-13T09:04:25;11.358,90;2015-05-13T09:04:25;11.358,90;2015-05-13T09:04:25;11.358,90;2015-05-13T09:04:25
11.358,30;2015-05-13T09:04:30;11.358,30;2015-05-13T09:04:30;11.358,30;2015-05-13T09:04:30;11.358,30;2015-05-13T09:04:30
11.357,50;2015-05-13T09:04:35;11.357,50;2015-05-13T09:04:35;11.357,50;2015-05-13T09:04:35;11.357,50;2015-05-13T09:04:35
11.356,90;2015-05-13T09:04:40;11.356,90;2015-05-13T09:04:40;11.356,90;2015-05-13T09:04:40;11.356,90;2015-05-13T09:04:40
11.357,10;2015-05-13T09:04:45;11.357,10;2015-05-13T09:04:45;11.357,10;2015-05-13T09:04:45;11.357,10;2015-05-13T09:04:45
11.356,40;2015-05-13T09:04:50;11.356,40;2015-05-13T09:04:50;11.356,40;2015-05-13T09:04:50;11.356,40;2015-05-13T09:04:50
11.356,70;2015-05-13T09:04:55;11.356,70;2015-05-13T09:04:55;11.356,70;2015-05-13T09:04:55;11.356,70;2015-05-13T09:04:55
11.353,70;2015-05-13T09:05:00;11.353,70;2015-05-13T09:05:00;11.353,70;2015-05-13T09:05:00;11.353,70;2015-05-13T09:05:00
11.352,70;2015-05-13T09:05:05;11.352,70;2015-05-13T09:05:05;11.352,70;2015-05-13T09:05:05;11.352,70;2015-05-13T09:05:05
11.353,60;2015-05-13T09:05:10;11.353,60;2015-05-13T09:05:10;11.353,60;2015-05-13T09:05:10;11.353,60;2015-05-13T09:05:10
11.353,70;2015-05-13T09:05:15;11.353,70;2015-05-13T09:05:15;11.353,70;2015-05-13T09:05:15;11.353,70;2015-05-13T09:05:15
11.351,40;2015-05-13T09:05:20;11.351,40;2015-05-13T09:05:20;11.351,40;2015-05-13T09:05:20;11.351,40;2015-05-13T09:05:20
11.351,90;2015-05-13T09:05:25;11.351,90;2015-05-13T09:05:25;11.351,90;2015-05-13T09:05:25;11.351,90;2015-05-13T09:05:25
11.350,50;2015-05-13T09:05:30;11.350,50;2015-05-13T09:05:30;11.350,50;2015-05-13T09:05:30;11.350,50;2015-05-13T09:05:30
11.345,70;2015-05-13T09:05:35;11.345,70;2015-05-13T09:05:35;11.345,70;2015-05-13T09:05:35;11.345,70;2015-05-13T09:05:35
11.347,50;2015-05-13T09:05:40;11.347,50;2015-05-13T09:05:40;11.347,50;2015-05-13T09:05:40;11.347,50;2015-05-13T09:05:40
11.346,60;2015-05-13T09:05:45;11.346,60;2015-05-13T09:05:45;11.346,60;2015-05-13T09:05:45;11.346,60;2015-05-13T09:05:45
11.346,50;2015-05-13T09:05:50;11.346,50;2015-05-13T09:05:50;11.346,50;2015-05-13T09:05:50;11.346,50;2015-05-13T09:05:50
11.347,00;2015-05-13T09:05:55;11.347,00;2015-05-13T09:05:55;11.347,00;2015-05-13T09:05:55;11.347,00;2015-05-13T09:05:55
11.350,00;2015-05-13T09:06:00;11.350,00;2015-05-13T09:06:00;11.350,00;2015-05-13T09:06:00;11.350,00;2015-05-13T09:06:00
11.349,90;2015-05-13T09:06:05;11.349,90;2015-05-13T09:06:05;11.349,90;2015-05-13T09:06:05;11.349,90;2015-05-13T09:06:05
11.348,50;2015-05-13T09:06:10;11.348,50;2015-05-13T09:06:10;11.348,50;2015-05-13T09:06:10;11.348,50;2015-05-13T09:06:10
11.348,40;2015-05-13T09:06:15;11.348,40;2015-05-13T09:06:15;11.348,40;2015-05-13T09:06:15;11.348,40;2015-05-13T09:06:15
11.348,60;2015-05-13T09:06:20;11.348,60;2015-05-13T09:06:20;11.348,60;2015-05-13T09:06:20;11.348,60;2015-05-13T09:06:20
11.351,10;2015-05-13T09:06:25;11.351,10;2015-05-13T09:06:25;11.351,10;2015-05-13T09:06:25;11.351,10;2015-05-13T09:06:25
11.350,60;2015-05-13T09:06:30;11.350,60;2015-05-13T09:06:30;11.350,60;2015-05-13T09:06:30;11.350,60;2015-05-13T09:06:30
11.351,10;2015-05-13T09:06:35;11.351,10;2015-05-13T09:06:35;11.351,10;2015-05-13T09:06:35;11.351,10;2015-05-13T09:06:35
11.353,30;2015-05-13T09:06:40;11.353,30;2015-05-13T09:06:40;11.353,30;2015-05-13T09:06:40;11.353,30;2015-05-13T09:06:40
11.352,70;2015-05-13T09:06:45;11.352,70;2015-05-13T09:06:45;11.352,70;2015-05-13T09:06:45;11.352,70;2015-05-13T09:06:45
11.352,60;2015-05-13T09:06:50;11.352,60;2015-05-13T09:06:50;11.352,60;2015-05-13T09:06:50;11.352,60;2015-05-13T09:06:50
11.352,90;2015-05-13T09:06:55;11.352,90;2015-05-13T09:06:55;11.352,90;2015-05-13T09:06:55;11.352,90;2015-05-13T09:06:55
11.353,90;2015-05-13T09:07:00;11.353,90;2015-05-13T09:07:00;11.353,90;2015-05-13T09:07:00;11.353,90;2015-05-13T09:07:00
11.353,90;2015-05-13T09:07:05;11.353,90;2015-05-13T09:07:05;11.353,90;2015-05-13T09:07:05;11.353,90;2015-05-13T09:07:05
11.353,60;2015-05-13T09:07:10;11.353,60;2015-05-13T09:07:10;11.353,60;2015-05-13T09:07:10;11.353,60;2015-05-13T09:07:10
